1,Robin,3001016563,Mees,16.83,41.1,691.71
2,Robin,3011128698,Mees,35.81,66.66,2387.09
3,Kertu,4061228227,Naine,7.38,56.09,413.94
4,Robin,3940923314,Mees,32.72,23.32,763.03
5,Anna,4920923751,Naine,25.28,67.51,1706.65
6,Liisa,4950522874,Naine,35.47,17.17,609.02
7,Kristo,3050310576,Mees,13.0,45.92,596.96
8,Tõnis,3950727327,Mees,33.57,35.83,1202.81
9,Kertu,4870110487,Naine,28.33,42.08,1192.13
10,Markus,3891004636,Mees,5.72,40.74,233.03
11,Robin,3070413432,Mees,29.3,72.04,2110.77
12,Sandra,4911210264,Naine,9.62,54.36,522.94
13,Anette,4831025668,Naine,20.91,14.3,299.01
14,Siim,3080916300,Mees,32.44,24.24,786.35
15,Kristo,3020815010,Mees,14.23,86.63,1232.74
16,Mari,4860715730,Naine,14.24,49.65,707.02
17,Mari,4090425587,Naine,32.85,19.37,636.3
18,Sandra,4850214730,Naine,15.93,33.23,529.35
19,Elisabeth,4050116106,Naine,25.47,92.46,2354.96
20,Rasmus,3050213720,Mees,15.8,41.12,649.7
21,Oliver,3071027428,Mees,20.86,37.53,782.88
22,Rasmus,3850804628,Mees,16.31,37.89,617.99
23,Kaspar,3830926085,Mees,20.34,93.89,1909.72
24,Liisa,4080308579,Naine,23.37,74.21,1734.29
25,Kristi,4010624188,Naine,35.73,16.67,595.62
26,Kertu,4880625161,Naine,32.71,66.35,2170.31
27,Elisabeth,4961001996,Naine,17.07,81.0,1382.67
28,Mari,4860225120,Naine,18.14,48.66,882.69
29,Kristi,4810801870,Naine,28.75,57.29,1647.09
30,Markus,3930225255,Mees,13.48,81.08,1092.96
31,Kertu,4820412353,Naine,38.77,84.55,3278.0
32,Sandra,4911227083,Naine,30.61,48.84,1494.99
33,Tõnis,3030618506,Mees,34.31,16.7,572.98
34,Joonas,3820815096,Mees,23.22,26.23,609.06
35,Tõnis,3891104433,Mees,29.96,86.83,2601.43
36,Anette,4940812806,Naine,36.38,82.29,2993.71
37,Kertu,4010414544,Naine,25.42,89.5,2275.09
38,Kristo,3041221916,Mees,22.69,40.12,910.32
39,Kristo,3970721889,Mees,36.55,83.66,3057.77
40,Marten,3810312585,Mees,20.43,90.78,1854.64
41,Oliver,3910727980,Mees,37.85,17.85,675.62
42,Markus,3920505683,Mees,30.15,30.15,909.02
43,Siim,3950209620,Mees,32.0,36.9,1180.8
44,Laura,4830216132,Naine,6.26,59.91,375.04
45,Siim,3950118619,Mees,28.52,79.78,2275.33
46,Markus,3070312008,Mees,8.86,22.24,197.05
47,Robin,3950412870,Mees,39.8,35.79,1424.44
48,Oliver,3820205522,Mees,34.56,24.26,838.43
49,Marten,3020408745,Mees,23.46,48.62,1140.63
50,Elisabeth,4900522321,Naine,19.53,19.65,383.76
51,Helena,4090626264,Naine,7.58,91.44,693.12
52,Joonas,3840303263,Mees,26.74,36.88,986.17
53,Kristi,4081109627,Naine,23.27,34.11,793.74
54,Anna,4900811605,Naine,18.52,49.42,915.26
55,Elisabeth,4090619652,Naine,21.92,91.51,2005.9
56,Anette,4940505641,Naine,25.29,53.22,1345.93
57,Kristi,4930203505,Naine,12.06,25.93,312.72
58,Markus,3000803486,Mees,6.66,30.13,200.67
59,Markus,3080216766,Mees,15.32,73.55,1126.79
60,Sandra,4820927023,Naine,6.66,28.19,187.75
61,Mari,4960311546,Naine,17.77,85.8,1524.67
62,Sandra,4080504603,Naine,26.69,66.2,1766.88
63,Robin,3911016815,Mees,22.69,79.92,1813.38
64,Sandra,4930226500,Naine,36.0,32.53,1171.08
65,Mari,4931103332,Naine,25.01,65.58,1640.16
66,Anna,4990622498,Naine,31.61,46.51,1470.18
67,Mari,4041011883,Naine,33.49,64.92,2174.17
68,Kristi,4941203643,Naine,35.15,33.25,1168.74
69,Sandra,4950705910,Naine,22.8,43.6,994.08
70,Helena,4920208944,Naine,6.69,33.68,225.32
71,Kristi,4020909350,Naine,37.31,50.65,1889.75
72,Sandra,4080210885,Naine,33.13,79.09,2620.25
73,Kristo,3850719345,Mees,30.01,42.07,1262.52
74,Markus,3060728205,Mees,15.2,44.26,672.75
75,Rasmus,3960926001,Mees,20.21,16.47,332.86
76,Oliver,3060221019,Mees,17.57,18.34,322.23
77,Kristo,3890902779,Mees,33.33,23.66,788.59
78,Joonas,3930423484,Mees,27.69,43.87,1214.76
79,Elisabeth,4810416607,Naine,30.18,51.41,1551.55
80,Marten,3890214811,Mees,6.31,52.86,333.55
81,Elisabeth,4040624650,Naine,30.74,84.46,2596.3
82,Anette,4070816326,Naine,13.02,88.41,1151.1
83,Robin,3980121869,Mees,7.82,30.11,235.46
84,Kristi,4910218317,Naine,39.28,87.14,3422.86
85,Rasmus,3921108631,Mees,14.0,15.34,214.76
86,Laura,4800323118,Naine,10.19,13.33,135.83
87,Anette,4090620455,Naine,13.07,21.81,285.06
88,Kertu,4900725596,Naine,39.23,88.83,3484.8
89,Markus,3891118605,Mees,25.72,30.8,792.18
90,Sandra,4060205288,Naine,29.87,49.54,1479.76
91,Helena,4850506131,Naine,31.69,23.89,757.07
92,Kristi,4020403414,Naine,6.84,62.52,427.64
93,Mari,4030924367,Naine,24.69,35.71,881.68
94,Anna,4991211988,Naine,22.93,47.74,1094.68
95,Joonas,3900501121,Mees,33.2,53.6,1779.52
96,Siim,3081006417,Mees,34.64,69.68,2413.72
97,Sandra,4921109389,Naine,13.32,40.03,533.2
98,Anette,4820916535,Naine,14.18,42.23,598.82
99,Marten,3830304220,Mees,10.04,53.87,540.85
100,Anna,4960415811,Naine,38.9,26.74,1040.19
